id,ENG,HIN
9966,D A N I,द ा न ी
9967,G U R U D W A R A _ C H O L A _ S A H I B,ग ु र ू द ् व ा र ा _ च ो ल ा _ स ा ह ि ब
9968,D I B R U G A R H _ T O W N,ड ि ब ् र ु ग ढ ़ _ ट ा उ न
9969,G W E N L L I A N,ग ् व े न ल ि य न
9970,C A R B O N,क ा र ् ब न
9971,C O L U M,क ो ल म ै न
9972,A L I S A,अ ल ि स ा
9973,G H U N G R O O _ K I _ A W A Z,घ ु ँ घ र ू _ क ी _ आ व ा ज ़
9974,F O R T _ M A C L E O D,फ ो र ् ट _ म ै क ल े य ो ड
9975,E M M E T,ए म े ट
9976,N A Q L I _ N A W A B,न क ल ी _ न व ा ब
9977,A B D U L _ M A J I D,अ ब ् द ु ल _ म ज ी द
9978,H W A N G E,ह व ा ं ग े
9979,S H A M A I L A H,श म ै ल ह
9980,G H A R A N A,घ र ा न ा
9981,E L - A R A B I A,अ ल - अ र े ब ि य ा
9982,K H W A J A _ S H A M S U D D I N _ A Z E E M I,ख ् व ा ज ा _ श म स ु द ् द ी न _ अ ज़ ी म ी
9983,G U A _ C I P I C U N G,ग ु आ _ स ि प ी क ु ं ग
9984,A S A H I _ K A S E I,आ श ी _ क स े ई
9985,A D H A R M,अ ध र ् म
9986,P R A J I N,प ् र ज ि न
9987,F O R T _ M C A N D R E W,फ ो र ् ट _ म ै क ए ण ् ड ् र य ू
9988,Y E S H I V A _ U N I V E R S I T Y _ M U S E U M,य े श ‍ ि व ा _ य ु न ‍ ि व र ् स ‍ ि ट ी _ म ् य ु ज़ ि य म
9989,N I L A N T H A _ R A T N A Y A K E,न ि ल ं थ ा _ र त ् न ा य क े
9990,A S L E S H,अ श ् ल े ष
9991,J O H N _ F . _ K E N N E D Y,ज ॉ न _ ए फ . _ क े न े ड ी
9992,A B D U R _ R A H A M A N,अ ब ् द ु र _ र ह म ा न
9993,W I N I F R E D,व ि न ि फ ् र े ड
9994,N A ' I L,न ा इ ल
9995,K U M U D A M,क ु म ु द म
9996,M A N U L I F E _ F I N A N C I A L,म ै न ् य ु ल ा इ फ ़ _ फ ़ ा इ न े ं श ि य ल
9997,A B D U L _ M U H A A Y A M I N,अ ब ् द ु ल _ म ु ह ा य म ी न
9998,R A I S E N,र ा य स े न
9999,K A N W A L J E E T,क ं व ल ज ी त
10000,R A N G E E N _ Z A M A N A,र ं ग ी न _ ज़ म ा न ा
10001,H I N D _ K A _ L A L,ह ि ं द _ क ा _ ल ा ल
10002,N E W B E R G _ C H R I S T I A N,न ् य ू ब र ् ग _ क ् र ि श ् च ि य न
10003,N I K U N J A,न ि क ु ं ज ा
10004,S U V A R N A P R A B H A,स ु व र ् ण प ् र भ ा
10005,A A H,आ ह
10006,G O P A L _ S H A R M A,ग ो प ा ल _ श र ् म ा
10007,T A M B E,त ा ं ब े
10008,R A B B A N I,र ब ् ब ा न ी
10009,S A A D,स ा ड
10010,J O H N _ C A R S O N,ज ॉ न _ क ा र ् स न
10011,M O H A M M A D _ K H A L I L,म ो ह म ् म द _ ख ल ि ल
10012,G A U R I N A T H,ग ौ र ी न ा थ
10013,U N I V E R S I T Y _ O F _ C A N B E R R A,य ू न ि व र ् स ि ट ी _ ऑ फ _ क ै न ब े र ा
10014,P R O T H E R I C S,प ् र ो थ े र ि क ् स
10015,F A B I A N O,फ ै ब ि य ा न ो
10016,A H M A D,अ ह म द
10017,V I K R A M _ V E T A L,व ि क ् र म _ ब े त ा ल
10018,J A A N B A A Z,ज ा ँ ब ा ज ़
10019,W A Y N E _ L A R K I N S,व े न _ ल ा र ् क ि ं स
10020,B A N D H A V G A R H,ब ा ं ध व ग ढ ़
10021,K A T T O R A,क त ् त ौ र ा
10022,J A M S H E D P U R,ज म श े द प ु र
10023,C O R A L,क ो र ल
10024,K A T N I,क ट न ी
10025,S U D H A K A R,स ु ध ा क र
10026,N I G A H E N,न ि ग ा ह े ं
10027,S U B H A A S H,स ु भ ा ष
10028,R O W E N A,र ो व े न ा
10029,V A H E E D A N,व ह ी द न
10030,S U G I T A,स ु ग ि त ा
10031,G I V E R N Y,ग ि व े र ् न ी
10032,P A H U,प ा ह ु
10033,J A I K R I S H N A,ज य क ृ ष ् ण
10034,D A M I E N _ M A R T Y N,ड े म ि न _ म ा र ् ट ि न
10035,A S H A N T,अ श ा ं त
10036,L A K E E R E N,ल क ी र े ं
10037,J A L L A D,ज ल ् ल ा द
10038,A L I,अ ल ी
10039,A N I L A A T M A J,अ न ि ल ा त ् म ज
10040,N A Z R A A N A,न ज़ र ा न ा
10041,S A N J U L A,स ं ज ु ल ा
10042,S A P N O N _ K A _ S A U D A G A R,स प न ो ं _ क ा _ स ौ द ा ग र
10043,B A H U,ब ह ू
10044,N I N E T O W N S _ D I G I T A L _ W O R L D _ T R A D E _ H O L D I N G S _ L I M I T E D,न ा इ न ट ा उ न ् स _ ड ि ज ी ट ल _ व र ् ल ् ड _ ट ् र े ड _ ह ो ल ् ड ि ं ग ् स _ ल ि म ि ट े ड
10045,B A A Z _ B A H A D U R,ब ा ज़ _ ब ह ा द ु र
10046,A U S T R A L I A N _ C A T H O L I C _ U N I V E R S I T Y,ऑ स ् ट ् र े ल ि य न _ क ै थ ल ि क _ य ू न ि व र ् स ि ट ी
10047,M A L A Y,म ल य
10048,G U R U D W A R A _ D O U L A T P U R _ S A H I B,ग ु र ू द ् व ा र ा _ द ौ ल त प ु र _ स ा ह ि ब
10049,S H I R E E N,श ि र ी न
10050,K H U N A Y S,ख ु न ा य स
10051,T E D _ B U N D Y,ट े ड _ ब ु ं ड ी
10052,T A K L E,ट क ल े
10053,L A A J A V A N T E E,ल ा ज व ं त ी
10054,B U _ A L I _ S H A H _ Q A L A N D A R,ब ू _ अ ल ी _ श ा ह _ क़ ल ं द र
10055,E R R O L,ए र ो ल
10056,A L D O N A,ए ल ् ड ो न ा
10057,E L I S E,ए ल ि स
10058,R A J M U K U T,र ा ज म ु क ु ट
10059,G R I S E L D A,ग ् र ि स े ल ् ड ा
10060,G U N D A,ग ु ं ड ा
10061,D O _ P R E M E E,द ो _ प ् र े म ी
10062,S A M S U N G,स ै म स ं ग
10063,P A R T H I V I,प र ् थ ि व ी
10064,P I N G _ P O N G,प ि ं ग _ प ॉ न ् ग
10065,I M P E R O,इ ं प े र ो
10066,M A H E N D R A G A R H,म ह े न ् द ् र ग ढ ़
10067,L A T I K A A,ल त ि क ा
10068,K O N G Z H O N G _ C O R P O R A T I O N,क ा ँ ग झ ा ँ ग _ क ॉ र ् प ो र े श न
10069,B A N K _ O F _ M A H,ब ै ं क _ ऑ फ _ म ह ा र ा ष ् ट ् र
10070,C I R O C C O,स ि र ॉ क ो
10071,C A P E _ H O R N,क े प _ ह ॉ र ् न
10072,R I V E R _ O F _ L I F E _ F A M I L Y,र ी व र _ ऑ फ _ ल ा इ फ ़ _ फ ़ ै म ि ल ी
10073,Q A R A S A F A H L,क र ा स फ ा ह ल
10074,M O O K A M B I K A,म ू क ा ं ब ि क ा
10075,S H E R E M E T Y E V O,श े र ् म ट य े व ो
10076,Y A A S A M E E N,य ा स म ी न
10077,U J A A L A A,उ ज ा ल ा
10078,D A L T O N G A N J,ड ै ल ् ट न ग ं ज
10079,I N D R A _ S A B H A,इ ं द ् र _ स भ ा
10080,A K A A S H A,आ क ा श
10081,F L O R R I E,फ ् ल ो र ी
10082,H E M A R A A J,ह े म र ा ज
10083,K A R W A _ C H O U T H,क र व ा _ च ौ थ
10084,M A M A T A A,म म त ा
10085,P R A N,प ् र ा ण
10086,K A R A N D I K A R,क र ं द ी क र
10087,W I R T,व र ् ट
10088,P L A Y E R S,प ् ल े य र ् स
10089,S H A T R U G H N,श त ् र ु घ ् न
10090,K A T A R I N A,क ै ट र ी न ा
10091,A L L A H A B A D,इ ल ा ह ा ब ा द
10092,R O O P _ K A H A N I,र ू प _ क ह ा न ी
10093,S U N E E L,स ु न ी ल
10094,G U R U D W A R A _ B I B H O R _ S A H I B,ग ु र ू द ् व ा र ा _ ब ि भ ो र _ स ा ह ि ब
10095,C U L L M A N,क ल म े न
10096,S A C H A I _ K I _ T A Q A T,स च ् च ा ई _ क ी _ त ा क त
10097,A L B I N A,अ ल ् ब ि न ा
10098,S O M P A A L,स ो म प ा ल
10099,T O N I,ट ो न ी
10100,S U V A R N A,स ु व र ् ण ा
10101,J E N N I C A,ज े न ि क ा
10102,K A V I G N A R _ I N K U L A B,क व ‍ ि ग ् न र _ इ ं क ल ा ब
10103,R A S H T R A V E E R _ S H I V A J I,र ा ष ् ट ् र व ी र _ श ि व ा ज ी
10104,S E E T A A S A R A N,स ी त ा स र न
10105,C H I N I _ J A D U G A R,च ी न ी _ ज ा द ू ग र
10106,G E R A T P U R,ग े र त प ु र
10107,H U G O _ W E A V I N G,ह ् य ू ग ो _ व ि व ि ं ग
10108,W A F A D A A R,व फ ़ ा द ा र
10109,A M A L E N D U,अ म ल े ं द ु
10110,A B D U L _ K H A B E E R,अ ब ् द ु ल _ ख ब ी र
10111,R A Y _ I L L I N G W O R T H,र े _ इ ल ि ं ग व र ् थ
10112,R A Y _ I L L I N G W O R T H,र े _ इ ल ि ं ग व ॉ र ् थ
10113,V A L O R A,व े ल ो र ा
10114,M I C H E L,म ि श े ल
10115,R A T N A _ M A N J A R I,र त ् न _ म ं ज र ी
10116,C H O D I A L A,च ो ड ि य ा ल ा
10117,D A A G,द ा ग
10118,C A R D I F F _ U N I V E R S I T Y,क ा र ् ड ि फ _ य ू न ि व र ् स ि ट ी
10119,T I R U P A T I S A R A M,त ि र ु प त ी स र ा म
10120,H A J J A J,ह ज ् ज ा ज
10121,F A R Z _ K I _ J U N G,फ र ् ज ़ _ क ी _ ज ं ग
10122,R I C K,र ि क
10123,M I K E _ W A T K I N S O N,म ा इ क _ व ॉ ट क ि ं स न
10124,E S S A R _ S T E E L,ए स ् स ा र _ स ् ट ी ल
10125,M E Y R I C K _ P R I N G L E,म े र ि क _ प ् र ि ं ग ल
10126,C A R E S S E,क ै र े स ी
10127,K A T Y,क ै ट ी
10128,C H O R O N _ K I _ B A R A A T,च ो र ो ं _ क ी _ ब ा र ा त
10129,S O N Y A,स ो न ि य ा
10130,F A I Z A B A D,फ ़ ै ज ़ ा ब ा द
10131,B H A R A T N A T Y A M,भ र त न ा ट ् य म
10132,C O M M O N _ B E T E,क ॉ म न _ ब े ट े
10133,R O B E R T _ M I T C H A M,र ॉ ब र ् ट _ म ि ट च ॅ म
10134,D R A F T S,ड ् र ा फ ् ट ् ‍ स
10135,F R E D E R I C K,फ ़ ् र े ड ् र ि क
10136,F R E D E R I C K,फ ् र े ड र ि क ् क
10137,D A V I D _ M U R R A Y,ड े व ि ड _ म ु र ् र े
10138,V I B H O O S H A N,व ि भ ू ष ण
10139,P A A P _ K I _ K A M A I,प ा प _ क ी _ क म ा ई
10140,B O M M I D I,ब ॉ म ् म ि द ी
10141,N A F I A H,न फ ी य ा ह
10142,R O B B I E _ H A R T,र ॉ ब ी _ ह ा र ् ट
10143,P I Y A _ G H A R _ A J A,प ि य ा _ क ा _ घ र
10144,B A N K _ M A N A G E R,ब ै ं क _ म ै न े ज र
10145,T H A T C H E R,थ ै च र
10146,H A M E N _ K H E L N E _ D O,ह म े ं _ ख े ल न े _ द ो
10147,M A I D A,म ै ड ा
10148,K O R Y A K,क ो र ् य ा क
10149,A A M O D,आ म ो द
10150,C H I Y O D A,च ि य ो द ा
10151,S I G M U N D _ F R E U D,स ि ग म ं ड _ फ ़ ् र ु ड
10152,K U N T A A,क ु ं त ा
10153,A A D I T Y K E S H A V,आ द ि त ् य क े श व
10154,A T M A J A,आ त ् म ज ा
10155,M A N M A N I,म न म ा न ी
10156,G I U L I A,ग ि उ ल ि आ
10157,S A T I S H _ G U J R A L,स ‍ त ी श _ ग ु ज र ा ल
10158,T H R E E _ H U N D R E E D _ D A Y S _ A F T E R,थ ् र ी _ ह ं ड र े ज _ ड े ज ़ _ आ फ ् ट र
10159,S E W N A R I N E _ C H A T T E R G O O N,स ि व न ा र ा य न _ च ै ट र ग ू न
10160,A N O K H A _ M I L A N,अ न ो ख ा _ म ि ल न
10161,A L A K N A N D A A,अ ल क न ं द ा
10162,N O R T H A M P T O N _ U N I V E R S I T Y _ C O L L E G E,न ा र ् थ ए ं प ट न _ य ू न ि व र ् स ि ट ी _ क ॉ ल े ज
10163,B E C K H A M,ब े क ह ै म
10164,C H I H U A H U A N,च ि ह ू आ ह ू अ न
10165,B I S H N A T H G A N J,ब ि श न ा थ ग ं ज
10166,P Y A R _ J H U K T A _ N A H I N,प ् य ा र _ झ ु क त ा _ न ह ी ं
10167,Z A M P O N A,ज़ ै ं प ो न ा
10168,A Y E _ M I L A N _ K I _ B E L A,आ ई _ म ि ल न _ क ी _ ब े ल ा
10169,B H A T T U,भ ट ् ‍ ट ु
10170,D I S A,द ि स ा
10171,E I S A,ई ज ़ ा
10172,S A Y Y I D A H,स ई द ा ह
10173,D H A N O A,ध न ो आ
10174,K A T A D A R E,क ा ट द र े
10175,F O R T _ S A I N T _ J O S E P H,फ ो र ् ट _ स े ं ट _ ज ो स फ
10176,N A L D U R G,न ल द ु र ् ग
10177,P A L L A B,प ल ् ल ब
10178,A B D U L _ H A L I M,अ ब ् द ु ल _ ह ल ी म
10179,A G A R _ T U M _ N A _ H O T E,अ ग र _ त ु म _ न _ ह ो त े
10180,Z A K I R _ H A S A N,ज़ ा क ि र _ ह स न
10181,R A K H I _ K I _ S A U G A N D H,र ा ख ी _ क ी _ स ौ ग ं ध
10182,A B D U L _ M A A L I K,अ ब ् द ु ल _ म ा ल ि क
10183,P R E M _ S A N G E E T,प ् र े म _ स ं ग ी त
10184,F A N C Y,फ ै ं स ी
10185,B I L A S P U R _ R O A D,ब ि ल ा स प ु र _ र ो ड
10186,A A N A N D A M A Y E E,आ न ं द म य ी
10187,S H A I R,श ा य र
10188,D I L R U B A,द ि ल र ु ब ा
10189,G U R U D W A R A _ B E T M A _ S A H I B,ग ु र ू द ् व ा र ा _ ब े ट म ा _ स ा ह ि ब
10190,S I D O N I E,स ि ड ो न ी
10191,D A V I S _ M U S E U M _ A N D _ C U L T U R A L _ A R T,ड े व ‍ ि स _ म ् य ु ज़ ि य म _ ए ण ् ड _ क ल ् च र ल _ आ र ् ट
10192,M I C H E L L E _ N O S T R A D U M,म ि श े ल _ न ॉ स ् ट ् र े ड म स
10193,C A R D E A,क ा र ् ड ि य ा
10194,K E N O S H A _ B I B L E,क े न ो श ा _ ब ा य ब ल
10195,C L A R A L,क ् ल ै र ल
10196,M A H O T S A A H,म ह ो त ् स ा ह
10197,J U N G L E E,ज ं ग ल ी
10198,B A D A G A R A,ब द ा ग र ा
10199,K A T R I N A,क ै ट र ी न ा
10200,N A G E E N A H,न ग ी न ा
10201,R A V I P R I Y,र व ि प ् र ि य
10202,R A H A B A R,र ह ब र
10203,S A I N T _ G O B A I N,स े ं ट _ ग ॉ ब े न
10204,S A I N T _ G O B A I N,स े ं ट _ ग ॉ ब ै न
10205,T R I X I E,ट ् र ि क ् स ी
10206,M A D O N N A,म े ड ो न ा
10207,M A D O N N A,म ै ड ो न ा
10208,R H O N D A,र ो ं ड ा
10209,Y O G I T A,य ो ग ि त ा
10210,A L I B A G H,अ ल ी ब ा ग
10211,G E O R G E _ L U C A S,ज ॉ र ् ज _ ल ु क ा स
10212,Y A S H A V A N T,य श व ं त
10213,N A B H A,न ा भ ा
10214,N A T I O N A L _ W A X _ M U S E U M,न े श न ल _ व ै क ् स _ म ् य ु ज़ ि य म
10215,M A L P A S S E T _ D A M,म ै ल ् प स े ट _ ड ै म
10216,A D D A N,अ ड ् ड ण
10217,M I L E S _ F R A N K L I N _ A W A R D,म ा इ ल ् स _ फ ् र े ं क ल ि न _ अ व ा र ् ड
10218,H A A T H I _ M E R E _ S A A T H I,ह ा थ ी _ म े र े _ स ा थ ी
10219,A A P _ K A _ P Y A R,आ प _ क ा _ प ् य ा र
10220,A M E R I C A N _ A C A D E M Y _ O F _ A R T S _ A N D _ L E T T E R S _ F I C T I O N _ A W A R D,अ म े र ि क न _ अ क े ड म ी _ ऑ फ _ आ र ् ट ् ‍ स _ ए ण ् ड _ ल े ट र ् स _ फ ि क ् श न _ अ व ा र ् ड
10221,S H U B H A N G,श ु भ ा ं ग
10222,H I S H A M,ह ि श ा म
10223,M U R A A R E E,म ु र ा र ी
10224,F R E E D,फ ् र ी ड
10225,S A E E D,स ई द
10226,C O M M O N W E A L T H,क ॉ म न व े ल ् थ
10227,B E H A N,ब ह न
10228,D O U S T,ड ॉ स ् ट
10229,J O H N _ J A M E S O N,ज ॉ न _ ज े म ् स न
10230,C A S P I A N,क ा स ् प ि य न
10231,S I L S I L A,स ि ल स ि ल ा
10232,R U D Y,र ु ड ी
10233,S U D H A A K A R,स ु ध ा क र
10234,A N I T R A,अ न ि त ् र ा
10235,E K _ G U N A H _ A U R _ S A H I,ए क _ ग ु न ा ह _ औ र _ स ह ी
10236,D A C H I G A M,द ा च ी ग म
10237,N E E L A M _ P A R I,न ी ल म _ प र ी
10238,R O H A N _ G A V A S K A R,र ो ह न _ ग ा व स ् क र
10239,D I M P L E,ड ि ं प ल
10240,N E W F O U N D L A N D,न ् य ू _ फ ा उ ं ड ल ै ं ड
10241,P H I L _ J A Q U E S,फ ि ल _ ज ै क ् स
10242,B I L D I,ब ि ल द ी
10243,T A W Q E E R,त ौ क ी र
10244,A D H O K S H A J,अ ध ो क ् ष ज
10245,J A B E E N,ज ब ी न
10246,F L O R I N A _ M U S E U M _ O F _ M O D E R N _ A R T,फ ् ल ो र ‍ ि न ा _ म ् य ु ज़ ि य म _ ऑ फ _ म ॉ ड र ् न _ आ र ् ट
10247,S I D I _ A H M E D _ A L - T I D J A N I,स ि द ी _ अ ह म द _ अ ल - त ि द ् ज ा न ी
10248,S A R O L K A R,स ा र ो ल क र
10249,S A M A R,स म र
10250,C H H A T W A L,छ ट व ा ल
10251,D A N I Y A W A N _ B A Z A R,द न ि य ा व ा न _ ब ा ज़ ा र
10252,N I R B H A Y,न ि र ् भ य
10253,D E P A L S A R,द े प ल स र
10254,P A N D H E R,प ं ढ ़ े र
10255,B A K H T I Y A R P U R _ J U N C T I O N,ब ख ् त ि य ा र प ु र _ ज ं क ् श न
10256,R A A T _ K E _ R A H I,र ा त _ क े _ र ा ह ी
10257,E U S T A C I A,य ू स ् ट े स ि य ा
10258,K A T H I R A H,क थ ि र ा ह
10259,I N T E Q A M _ K I _ A A G,इ ं त ि क ़ ा म _ क ी _ आ ग
10260,A A M E R _ M A L I K,आ म े र _ म ल ि क
10261,R A N G A N A T H,र ं ग न ा थ
10262,B O L A R U M,ब ो ल ा र म
10263,S H A R I F _ D A K U,श र ी फ _ ड ा क ू
10264,D A Y A M A Y E E,द य ा म य ी
10265,M Y R I L L A,म ा य र ि ल ा
10266,A S A O T I,अ स ौ त ी
10267,M A L A Y S I A,म ल े श ि य ा
10268,B H I N W A L I Y A,भ ि न व ा ल ि य ा
10269,L O N D O N H E A T H R O W,ल ं द न _ ह ी थ ् र ो
10270,D A A M I N,द ा म ि न
10271,C H U B U _ E L E C T R I C _ P O W E R,श ु ब _ इ ल े क ् ट ् र ि क _ प ॉ व र
10272,B A D E _ D I L W A L A,ब ड ़ े _ द ि ल व ा ल ा
10273,C E N T U R Y _ S A N G B A D,स े ं च ् य ु र ी _ स ं ग ब द
10274,S A D A G O P P A N _ R A M E S H,स द ा ग ो प ् प न _ र म े श
10275,L U X E M B O U R G _ C I T Y,ल क ् ज ़ े म ् ब र ् ग _ स ि ट ी
10276,P U J A R I,प ु ज ा र ी
10277,S U B E X _ S Y S T E M S,स ु ब े क ् स _ स ि स ् ट म ् स
10278,T A J _ M A H A L,त ा ज _ म ह ल
10279,K A L I _ G A N G A,क ा ल ी _ ग ं ग ा
10280,D I C K _ G R E G O R Y,ड ि क _ ग ् र ी ग ो र ी
10281,T I M B E,ट ि ं ब े
10282,R H I N E,र ा इ न
10283,M I K E _ A T H E R T O N,म ा इ क _ ए थ र ् ट न
10284,R Y A N _ H I N D S,र ि य ा न _ ह ि न ् ड ् ‍ स
10285,R A A J I V,र ा ज ी व
10286,S A I B A H,स ै ब ा ह
10287,K A L T H A M,क ल ् थ म
10288,A N I R U D H A,अ न ि र ु द ् ध
10289,M A R G A U X,म ा र ग ौ क ् स
10290,M A I T R E Y A,म ै त ् र े य
10291,M A I T R E Y A,म ै त ् र े य ा
10292,M A I N _ H O O N _ J A D U G A R,म ै ं _ ह ू ँ _ ज ा द ू ग र
10293,B O N G A I G A O N,ब ॉ न ् ग ा ई ग ा ं व
10294,A A N K H O N _ D E K H I,आ ँ ख ो ं _ द े ख ी
10295,R A A J A M A N I,र ा ज म ण ि
10296,A R A G U A I A,आ र ग ु आ इ आ
10297,A R P I T A A,अ र ् प ि त ा
10298,F I G H T E R _ S H E I L A,फ ा इ ट र _ श ी ल ा
10299,J A G R I T I,ज ा ग ृ त ि
10300,J A G R I T I,ज ा ग ृ त ी
10301,S H A W _ P R I Z E,श ॉ _ प ् र ा इ ज़
10302,M A R K _ T W A I N,म ा र ् क _ ट ् व े न
10303,C Y C L E W A L I,स ा य क ल व ा ल ी
10304,M E L _ B R O O K S,म ॅ ल _ ब ् र ु क ् स
10305,D A K U _ A U R _ M A H A T M A,ड ा क ू _ औ र _ म ह ा त ् म ा
10306,L A L I T C H A N D R A,ल ल ि त च ं द ् र
10307,B R I A N _ M U R P H Y,ब ् र ा य न _ म र ् फ ी
10308,B A M B A,ब ै ं ब ा
10309,A L L A N _ B O R D E R _ M E D A L,ए ल न _ ब ो र ् ड र _ म े ड ल
10310,J A C Q U I,ज ै क ी
10311,S A N C H I _ S T U P A,स ा ं च ी _ स ् त ू प
10312,I R R I S I S T I B L E,इ र ् र े र ि स ् ट े ब ल
10313,T U N I S,ट ् य ू न ि स
10314,E K _ S H O L A,ए क _ श ो ल ा
10315,M U S E U M _ O F _ T H E _ C I T Y _ O F _ N E W _ Y O R K,म ् य ु ज़ ि य म _ ऑ फ _ द _ स ‍ ि ट ‍ ी _ ऑ फ _ न ् य ू _ य ॉ र ् क
10316,E R N E S E T T L E _ F O R T,अ र ् न स े ट ल _ फ ो र ् ट
10317,B O L E R O _ S O N,ब ॉ ल े र ो _ स न
10318,A C H A L E S W A R,अ च ल े श ् व र
10319,H A D I Y A H,ह द ि य ा ह
10320,M A I _ B A A P,म ा ई _ ब ा प
10321,L A W R E N C E,ल ॉ र े ं स
10322,A L I _ H U J W I R I,अ ल ी _ ह ु ज ् व ी र ी
10323,N O O R _ J A H A N,न ू र _ ज ह ा ँ
10324,S A V A N N A H,स व ा न ् न ा
10325,B H A C H A U,भ च उ
10326,K H A L I S A H,ख ल ि स ा ह
10327,K I N G _ P H I L I P ' S _ W A R,क ि ं ग _ फ ि ल ि प ् स _ व ा र
10328,P A R T H,प ा र ् थ
10329,P R E E T,प ् र ी त
10330,K A I L A S H N A T H,क ै ल ा श न ा थ
10331,T R E S S,ट ् र े स ी
10332,T R U L Y,ट ् र ू ल ी
10333,W I L L E M,व ि ल े म
10334,A Z A A D E H,अ ज़ ा द े ह
10335,L O W E L L,ल ो व े ल
10336,H E M P S T E A D,ह े म ् प स ् ट े ड
10337,A J G A I N,अ ज ् ग े न
10338,B E N A Z I R,ब े न ज़ ी र
10339,J O N E _ R E V E R S E,ज ो न _ र ि व र ् स
10340,P Y A R _ K A _ T O O F A N,प ् य ा र _ क ा _ त ू फ ा न
10341,A R I V U M A N I,अ र ि व ु म ण ि
10342,C A T H E R I N E _ Z E T A _ - _ J O N E S,क ै थ र ी न _ ज ़ े ट ा - ज ो न ् स
10343,D I S C O _ D A N C E R,ड ि स ् क ो _ ड ा ं स र
10344,M A S H O O Q A,म ा श ू क ा
10345,B E L F A S T,ब े ल फ ा स ् ट
10346,A P O L L O,अ प ो ल ो
10347,A B D U L _ M U J E E B,अ ब ् द ु ल _ म ु ज ी ब
10348,A P A R N A,अ प र ् ण ा
10349,V I T A N K A R,व ि ट ण क र
10350,D O Y E L,द ो य ल
10351,N U M A,न ु म ा
10352,B H A R A T I,भ ा र त ी
10353,M U N J A L _ S H O W A,म ु ं ज ल _ श ो व ा
10354,M A L D A,म ा ल द ा
10355,P Y R E N E E S,प ा य र े न ी स
10356,M A D I H A H,म द ि ह ा ह
10357,C O S M O,क ो स ् म ो
10358,G O L D E N _ B E A R,ग ो ल ् ड न _ ब ी य र
10359,U R D H V A R E S H E,उ र ् ध ् व र े श े
10360,F O R T _ I N D E P E N D E N C E,फ ो र ् ट _ इ ं ड ि प े ं ड े न ् स
10361,A M O L,अ म ो ल
10362,S Y M O N A,स ि म ो न ा
10363,M A L K I N,म ा ल क ि न
10364,S A M A J _ K O _ B A D A L _ D A L O,स म ा ज _ क ो _ ब द ल _ ड ा ल ो
10365,V E D A V A T E E,व े द व त ी
10366,C H E R I,च े र ी
10367,H U M _ H A I N _ L A J A W A B,ह म _ ह ै ं _ ल ा ज व ा ब
10368,U N I V E R S I T Y _ O F _ H U D D E R S F I E L D,य ू न ि व र ् स ि ट ी _ ऑ फ _ ह ड र ् स फ ी ल ् ड
10369,D A B H O I _ J U N C T I O N,द भ ो ई _ ज ं क ् श न
10370,A A S R A,आ स र ा
10371,R A D I,र ा द ी
10372,W O O L W O R T H S,व ू ल व र ् थ ् स
10373,N E S T O R,न े स ् ट र
10374,B A L W A R A,ब ल व ा र ा
10375,S E L I M A,स े ल ि म ा
10376,P A N A M A _ C A N A L,प न ा म ा _ क े न ा ल
10377,G A J E N _ D R,ग ज े न ् द ् र
10378,V A A C H I K A A,व ा च ि क ा
10379,A I R _ F R A N C E _ K L M _ G R O U P,ए य र _ फ ़ ् र ा ं स _ क े ए ल ए म _ ग ् र ु प
10380,C A D I,क ै ड ी
10381,D E Z S O,द े ज़ ् स ो
10382,K U S A G R A,क ु श ा ग ् र
10383,F A D I,फ ै द ी
10384,M E K H A L I N,म े ख ल ि न
10385,B O M B A Y _ R A A T _ K I _ B A H O N _ M E I N,ब ॉ म ् ब े _ र ा त _ क ी _ ब ा ह ो ं _ म े ं
10386,K E R R Y N,क े र ी न
10387,A N J U S H R I,अ ं ज ु श ् र ी
10388,C H A T E,च ा ट े
10389,S E E M A A N T,स ी म ा ं त
10390,F O R T _ S A I N T _ J O H N,फ ो र ् ट _ स े ं ट _ ज ॉ न
10391,W A R _ O F _ T H E _ G R A N D _ A L L I A N C E,व ा र _ ऑ फ _ द _ ग ् र ै ं ड _ अ ल ा ए ं स
10392,B R I A N,ब ् र ा य न
10393,W O O D R O W,व ु ड ् र ो
10394,H A R I _ D A R S H A N,ह र ि _ द र ् श न
10395,G O L D E N _ G A T E _ H I G H L A N D S,ग ो ल ् ड न _ ग े ट _ ह ा ई ल ै ं ड ् स
10396,M A C U M B O,म ै क ू ं ब ा
10397,A R C E L O R,आ र ् स े ल र
10398,N A U G H T Y _ B O Y,न ॉ ट ी _ ब ॉ य
10399,A T H A B A S C A,अ थ ा ब ा स ् क ा
10400,A R V I,अ र ् व ी
10401,G Y M N A S T I C S,ज ि म न ा स ् ट ि क ् स
10402,K A U M U D I,क ौ म ु द ी
10403,M A R R I A G E _ B U R E A U,म ै र े ज _ ब ् य ू र ो
10404,G O L F,ग ो ल ् फ
10405,I P H I G E N I E,इ फ ि ज े न ी
10406,M A J O R _ L E A G U E _ L A C R O S S E _ D E F E N S I V E _ P L A Y E R _ O F _ T H E _ Y E A R _ A W A R D,म े ज र _ ल ी ग _ ल ै क ् र ो स _ ड ि फ े ं स ि व _ प ् ल े य र _ ऑ फ _ द _ ई य र _ अ व ा र ् ड
10407,O A L K A R,ओ ल क र
10408,D I N E S H _ K A R T H I K,द ि न े श _ क ा र ् त ि क
